variable,p_val,avg_log2FC,p_val_adj
mt-Nd3_B5,0.0314201794077955,0.2096736051645036,0.1259261877828054
Cd83_B5,0.001,-0.130148141515016,0.001
Dusp2_B5,0.001,-0.0471307187987099,0.001
Gch1_B5,0.001,-0.1253531444026697,0.001
Gpr183_B5,0.001,-0.0698088167443844,0.001
Kdm6b_B5,0.001,-0.1673814473179666,0.001
Kras_B5,0.001,-0.0250265103658362,0.001
Myc_B5,0.001,-0.0443667488320269,0.001
Ncf1_B5,0.001,-0.8814494169581049,0.001
Nfkbid_B5,0.001,0.1232042544532569,0.001
Nr4a1_B5,0.001,-0.1263596316140462,0.001
Rasgef1b_B5,0.001,-0.2524173863565978,0.001
Samsn1_B5,0.001,0.020103055464903,0.001
Satb1_B5,0.001,-0.0088431479493488,0.001
Stap1_B5,0.001,-0.0669715233037381,0.001
Tob2_B5,0.001,-0.0461249611076577,0.001
Ighe_B5,0.001,1.0,0.001
Ighg1_B5,0.001,-1.1129429441411345,0.001
Ighg2b_B5,0.001,-0.6358984045825242,0.001
Ighg2c_B5,0.001,-2.222899181823873,0.001
Ighg3_B5,0.001,-0.8030082803889339,0.001
Ighj1_B5,0.001,1.0,0.001
Ighj2_B5,0.001,1.0,0.001
Ighj3_B5,0.001,1.0,0.001
Ighj4_B5,0.001,1.0,0.001
Ighv1-11_B5,0.001,1.0,0.001
Ighv1-12_B5,0.001,1.0,0.001
Ighv1-14_B5,0.001,-0.0049023497651855,0.001
Ighv1-15_B5,0.001,1.0,0.001
Ighv1-18_B5,0.001,1.0,0.001
Ighv1-19_B5,0.001,-0.9917846676480944,0.001
Ighv1-2_B5,0.001,-0.6807858980560373,0.001
Ighv1-20_B5,0.001,1.0,0.001
Ighv1-21_B5,0.001,1.0,0.001
Ighv1-22_B5,0.001,1.0,0.001
Ighv1-25_B5,0.001,1.0,0.001
Ighv1-26_B5,0.001,-0.912660064497228,0.001
Ighv1-28_B5,0.001,1.0,0.001
Ighv1-30_B5,0.001,1.0,0.001
Ighv1-31_B5,0.001,1.0,0.001
Ighv1-33_B5,0.001,-1.406957083507235,0.001
Ighv1-34_B5,0.001,1.0,0.001
Ighv1-36_B5,0.001,1.0,0.001
Ighv1-37_B5,0.001,1.0,0.001
Ighv1-38_B5,0.001,1.0,0.001
Ighv1-39_B5,0.001,1.0,0.001
Ighv1-4_B5,0.001,-2.216232213115915,0.001
Ighv1-42_B5,0.001,1.0,0.001
Ighv1-43_B5,0.001,1.0,0.001
Ighv1-47_B5,0.001,1.0,0.001
Ighv1-5_B5,0.001,1.603239910008211,0.001
Ighv1-50_B5,0.001,1.0,0.001
Ighv1-52_B5,0.001,1.0,0.001
Ighv1-53_B5,0.001,0.6057899990286583,0.001
Ighv1-54_B5,0.001,0.6556391543713483,0.001
Ighv1-55_B5,0.001,1.0,0.001
Ighv1-56_B5,0.001,1.0,0.001
Ighv1-59_B5,0.001,1.0,0.001
Ighv1-61_B5,0.001,1.0,0.001
Ighv1-62_B5,0.001,1.0,0.001
Ighv1-62-1_B5,0.001,1.0,0.001
Ighv1-62-3_B5,0.001,1.0,0.001
Ighv1-63_B5,0.001,1.0,0.001
Ighv1-64_B5,0.001,-0.2794700425603682,0.001
Ighv1-66_B5,0.001,1.0,0.001
Ighv1-67_B5,0.001,1.0,0.001
Ighv1-69_B5,0.001,1.0,0.001
Ighv1-7_B5,0.001,-0.0806378263143442,0.001
Ighv1-72_B5,0.001,1.0,0.001
Ighv1-73_B5,0.001,1.0,0.001
Ighv1-74_B5,0.001,1.0,0.001
Ighv1-76_B5,0.001,1.0,0.001
Ighv1-77_B5,0.001,-0.8723960798138486,0.001
Ighv1-78_B5,0.001,1.0,0.001
Ighv1-80_B5,0.001,1.0,0.001
Ighv1-81_B5,0.001,1.0,0.001
Ighv1-82_B5,0.001,1.0,0.001
Ighv1-83_B5,0.001,1.0,0.001
Ighv1-84_B5,0.001,1.0,0.001
Ighv1-85_B5,0.001,-2.400396658473188,0.001
Ighv1-86_B5,0.001,1.0,0.001
Ighv1-9_B5,0.001,1.1076348926920765,0.001
Ighv10-1_B5,0.001,-0.7292763100053674,0.001
Ighv13-2_B5,0.001,1.0,0.001
Ighv14-1_B5,0.001,1.0,0.001
Ighv14-2_B5,0.001,-1.0315278353127788,0.001
Ighv14-3_B5,0.001,1.0,0.001
Ighv14-4_B5,0.001,1.0,0.001
Ighv2-2_B5,0.001,-1.8683012077077723,0.001
Ighv2-3_B5,0.001,1.0,0.001
Ighv2-4_B5,0.001,1.0,0.001
Ighv2-5_B5,0.001,-1.441239518572667,0.001
Ighv2-6_B5,0.001,1.0,0.001
Ighv2-6-8_B5,0.001,1.0,0.001
Ighv2-9_B5,0.001,-0.9833660919398282,0.001
Ighv2-9-1_B5,0.001,1.0,0.001
Ighv3-1_B5,0.001,-0.2429637346291684,0.001
Ighv3-2_B5,0.001,-1.458901854995071,0.001
Ighv3-5_B5,0.001,1.0,0.001
Ighv3-6_B5,0.001,-0.4395905270101678,0.001
Ighv3-7_B5,0.001,1.0,0.001
Ighv3-8_B5,0.001,-0.4158600678834989,0.001
Ighv4-1_B5,0.001,-0.8125754658063057,0.001
Ighv4-2_B5,0.001,-1.6228257202745866,0.001
Ighv5-1_B5,0.001,1.0,0.001
Ighv5-12_B5,0.001,-1.2174703111105023,0.001
Ighv5-15_B5,0.001,1.0,0.001
Ighv5-17_B5,0.001,1.5919584712756705,0.001
Ighv5-2_B5,0.001,1.0,0.001
Ighv5-4_B5,0.001,-0.5843769518692806,0.001
Ighv5-6_B5,0.001,0.6595749828655274,0.001
Ighv5-9_B5,0.001,0.8364567663192752,0.001
Ighv5-9-1_B5,0.001,1.366141049026646,0.001
Ighv6-3_B5,0.001,1.204418148553045,0.001
