Edge Name,KO_pval,KO_median,wk3_pval,wk3_median,wk6_pval,wk6_median
Rpl31_T1<==>H2afz_B1,0.0322788501029663,0.75,0.1,0.8999999999999999,0.1,-0.7999999999999998
Ikzf2_T2<==>S100a6_T5,0.1017330374542646,-0.6190476190476191,0.1,-0.8999999999999999,0.0,1.0
Rpl37a_T2<==>Rpl35_B1,0.0208151272535253,0.7857142857142857,0.0,1.0,0.0,1.0
Rpl37a_T2<==>Rps27_B2,0.1292448816497496,0.5833333333333333,0.0,1.0,0.0,1.0
Rpl37a_T2<==>Rps27_T2,0.0065300172547153,0.8571428571428571,0.1,0.8999999999999999,0.0,1.0
Rpl37a_T2<==>Rpl19_T2,0.1859477459054023,0.5238095238095237,0.1,-0.8999999999999999,0.0,-1.0
Rpl37a_T2<==>Rps29_T1,0.0644889862427802,0.6785714285714286,0.1,0.8999999999999999,0.1,0.8999999999999999
Rpl37a_T2<==>Rps29_T6_2,0.0644889862427802,0.6785714285714286,0.1,0.8999999999999999,0.0,1.0
Rpl37a_T2<==>Rpl37_T1,0.0051901688592238,0.8690476190476191,0.1,0.8999999999999999,0.1,0.8999999999999999
Rpl37a_T2<==>Rps28_T2,0.0322788501029663,0.75,0.0,1.0,0.0,1.0
Rpl37a_T2<==>Rpl39_B2,0.0365527610528608,0.7380952380952381,0.0,1.0,0.0,1.0
Rpl37a_T2<==>mt-Co2_T5,0.1511252783392538,-0.5595238095238095,0.0,-1.0,0.1,-0.8999999999999999
Ncl_B1<==>Ms4a7_M1,0.0741306348692159,-0.6666666666666667,0.0,1.0,0.0,1.0
Cxcr4_B1<==>Dennd4a_M5,0.0782732726668304,-0.6547619047619048,0.0,-1.0,0.1,0.8999999999999999
Cacna1s_B3<==>Pmepa1_M5,0.1389599571607067,-0.5714285714285714,0.0,1.0,0.0,1.0
Cacna1s_B3<==>H2-Q7_T1,0.1600256425388966,0.5476190476190477,0.1,0.8999999999999999,0.1,0.8999999999999999
Ptgs2_M0<==>Il1b_M0,0.0065300172547153,0.8571428571428571,0.0,1.0,0.0,1.0
Lpgat1_M7<==>Dbnl_M4,0.0660435616484202,-0.6785714285714286,0.0,-1.0,0.0,-1.0
Il1rn_M0<==>Eif4e_M0,0.0465282322841672,0.7142857142857143,0.0,1.0,0.1,0.8999999999999999
Rpl12_T5<==>Eef2_T5,0.1462950705063365,0.5714285714285714,0.1,0.8999999999999999,0.1,0.8999999999999999
Rpl12_T6_2<==>Rps3a1_T0,0.0741306348692159,-0.6666666666666667,0.0,1.0,0.0,-1.0
Rpl35_B1<==>Rps27_B1,0.0020082755054294,0.9047619047619048,0.1,0.8999999999999999,0.1,0.8999999999999999
Rpl35_B1<==>Rps27_B2,0.1106314217965286,0.6071428571428572,0.0,1.0,0.0,1.0
Rpl35_T1<==>Rpl39_B2,0.1292448816497496,0.5833333333333333,0.1,0.8999999999999999,0.0,1.0
Rpl35_T3<==>Rpl6_B2,0.1106314217965286,0.6071428571428572,0.1,0.8999999999999999,0.1,0.8999999999999999
Rpl35_T5<==>Atp5md_T2,0.0429976286588223,0.7261904761904762,0.1,0.8999999999999999,0.0,1.0
Nusap1_T5<==>mt-Nd3_M3,0.1835284462694483,-0.5238095238095238,0.0,1.0,0.1,0.8999999999999999
Pdia3_M0<==>Rps4x_B2,0.0465282322841672,0.7142857142857143,0.0,-1.0,0.1,-0.8999999999999999
Serf2_T7<==>Csf1r_M0,0.1106314217965286,0.6071428571428572,0.1,-0.8999999999999999,0.0,1.0
B2m_T0<==>Hopx_T0,0.1827207505397149,-0.0833333333333333,0.1,0.8999999999999999,0.1,0.8999999999999999
Sppl2a_M0<==>Actr2_M0,0.0936459642334688,0.6309523809523809,0.1,0.8999999999999999,0.0,1.0
Bcl2l11_B3<==>Rap2a_M3,0.0537702076869242,0.7023809523809523,0.1,0.8999999999999999,0.1,0.8999999999999999
Rrbp1_M5<==>Tle5_T3,0.1899672867878388,-0.5238095238095238,0.0,1.0,0.0,1.0
Eif2s2_B3<==>Nars_B3,0.0936459642334688,0.6309523809523809,0.0,1.0,0.1,0.8999999999999999
Eif2s2_B5<==>Rpl17_B5,0.028683944153193,-0.7619047619047619,0.0,-1.0,0.0,-1.0
Rbm39_B3<==>Sh3glb1_B3,0.0936459642334688,0.6309523809523809,0.0,1.0,0.1,0.8999999999999999
Scand1_M0<==>Sh3bgrl3_T4,0.05225927522437,0.7023809523809523,0.1,0.8999999999999999,0.1,0.8999999999999999
Scand1_M0<==>Igha_M0,0.1292448816497496,-0.5833333333333333,0.0,-1.0,0.0,-1.0
Atp5e_M3<==>Rps28_T2,0.1948760002698574,-0.5119047619047619,0.0,1.0,0.1,0.8999999999999999
Rps21_M5<==>Rps27_B2,0.1713731965393057,-0.3214285714285714,0.0,1.0,0.0,1.0
Rps21_T2<==>Rps29_T2,0.0070129302935945,0.8571428571428572,0.1,0.8999999999999999,0.0,1.0
Rps21_T2<==>Rps29_T6_2,0.1017330374542646,0.6190476190476191,0.1,0.8999999999999999,0.0,1.0
Rps21_T2<==>Rps28_T2,0.0149026676862301,0.8095238095238095,0.1,0.8999999999999999,0.0,1.0
Rps21_T2<==>mt-Co2_B3,0.1025443485757329,-0.6190476190476191,0.1,-0.8999999999999999,0.1,-0.8999999999999999
Rpl22l1_T1<==>Psmb8_B3,0.1713731965393057,-0.5357142857142858,0.0,1.0,0.1,0.8999999999999999
Ndufc1_M0<==>Lyn_M4,0.1899672867878388,-0.4880952380952381,0.1,0.8999999999999999,0.1,0.8999999999999999
Ndufc1_M0<==>Nars_B3,0.1632805280693963,-0.5476190476190477,0.1,0.8999999999999999,0.1,0.8999999999999999
Serp1_B1<==>Pfn1_T5,0.0644889862427802,-0.6785714285714286,0.1,-0.8999999999999999,0.1,-0.7999999999999998
Ccnl1_M3<==>Bhlhe40_T5,0.1827207505397149,0.5238095238095238,0.1,0.8999999999999999,0.1,0.8999999999999999
Ccnl1_M3<==>Gm42418_M7,0.1308793399965805,0.5833333333333334,0.1,0.8999999999999999,0.1,-0.8999999999999999
Gask1b_O4<==>Crem_T3,0.0936459642334688,-0.6309523809523809,0.1256583509747431,0.8743416490252568,0.0,1.0
Rps3a1_B5<==>Rps3a1_T5,0.1195298061387926,0.5952380952380952,0.0,1.0,0.0,1.0
Rps3a1_T0<==>Ighv1-74_B3,0.0780412835958267,0.6666666666666667,0.1,-0.8999999999999999,0.0,-1.0
Rps27_B1<==>Rps27_T1,0.041540496668514,0.7261904761904763,0.0,1.0,0.0,1.0
Rps27_B2<==>Rpl6_B2,0.1122594240866899,0.6071428571428572,0.0,1.0,0.0,1.0
Rps27_B2<==>Rpl39_B2,0.1106314217965286,0.6071428571428572,0.0,1.0,0.0,1.0
Rps27_B3<==>Rps27_T1,0.0782732726668304,0.6547619047619048,0.1,0.8999999999999999,0.0,1.0
Rps27_B3<==>Ddx5_T4,0.1292448816497496,-0.5833333333333333,0.0,1.0,0.1,0.8999999999999999
Rps27_T1<==>Tpt1_B5,0.1713731965393057,0.5357142857142858,0.0,-1.0,0.0,-1.0
Rps27_T2<==>Rpl6_B2,0.0465282322841672,0.7142857142857143,0.0,1.0,0.1,0.8999999999999999
Rps27_T2<==>Rps28_T1,0.0208151272535253,0.7857142857142857,0.0,1.0,0.0,1.0
Rps27_T2<==>Rpl39_B1,0.1049738057408471,0.6190476190476191,0.1,0.8999999999999999,0.1,0.8999999999999999
Rps27_T2<==>Rpl39_B5,0.1835284462694483,0.5238095238095238,0.1,0.8999999999999999,0.0,1.0
Ctss_M1<==>Sesn3_T0,0.1389599571607067,-0.5714285714285714,0.1,0.8999999999999999,0.1,-0.8999999999999999
Ctss_M5<==>Lamp1_M5,0.1600256425388966,0.5476190476190477,0.0,1.0,0.0,1.0
Mcl1_T3<==>Cd4_T0,0.1713731965393057,-0.5357142857142858,0.0,1.0,0.1,0.8999999999999999
H2afz_M3<==>Ighv1-55_B3,0.1629802498812385,0.5449199491705329,0.0,-1.0,0.0513167019494862,0.9486832980505138
Eif4e_M0<==>Crem_M5,0.1608403538502108,-0.5476190476190477,0.0,1.0,0.1,0.8999999999999999
Eif4e_M0<==>Sat1_B1,0.1308793399965805,0.5833333333333334,0.0,-1.0,0.0,-1.0
Rps20_B3<==>Rpl32_B3,0.0125391039048434,0.8214285714285714,0.0,1.0,0.1,0.8999999999999999
Rps20_B3<==>Rpl18a_B3,0.0465282322841672,0.7142857142857143,0.1,0.8999999999999999,0.0,1.0
Rps20_B3<==>Rpl3_B3,0.0717746045886229,0.6666666666666667,0.1,0.8999999999999999,0.1,0.8999999999999999
Rps20_M1<==>Rps23_M1,0.015495333688491,0.8095238095238095,0.0,1.0,0.0,1.0
Ppt1_M4<==>Ighg1_B2,0.0923298494181038,0.6328113995260187,0.1,-0.8999999999999999,0.1,-0.8999999999999999
Sfpq_M1<==>Fosb_B3,0.0322788501029663,-0.75,0.1,-0.8999999999999999,0.1,-0.8999999999999999
Marcksl1_M1<==>Gapdh_B4,0.0798616778094186,0.6547619047619048,0.0,1.0,0.1,-0.8999999999999999
Cd52_B0<==>Rpl5_B1,0.1608403538502108,-0.5476190476190477,0.1,-0.8999999999999999,0.1,-0.8999999999999999
Clic4_B3<==>Lcp1_T7,0.1729956035803533,-0.5357142857142857,0.1,-0.7999999999999998,0.1,-0.8999999999999999
Rpl11_B1<==>Atp6ap2_M0,0.1462950705063365,-0.5714285714285714,0.0,-1.0,0.1,-0.8999999999999999
