gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk6_median,median_IL10_KOTLS_median,FDR_BH
Atp5g3,0.0824958323410335,0.4268635389378423,0.9699293482575216,-0.2129753566874559,-0.0857618721611746,0.0359247049410975,1.2296472613847724,1.1555155631176113,0.604767867431336
Hnrnpa3,0.0001111375724378,0.0073033261887751,0.0694308168611571,0.0838228321095338,0.1725730621810995,0.2781195305888503,1.2443745100515151,1.4019737165410486,0.039265411443612036
Nfe2l2,0.0978804477256489,0.4053028498848932,0.9699293482575216,-0.0199716514138305,0.1077186484711372,0.1934129499628246,1.73479385955968,1.8714499360456676,0.5927685091339782
Itprid2,0.0002345546750104,0.0013600451325973,0.0120318597994687,0.5234023096103715,1.2656887882541843,29.52151787084999,0.3235034264008855,0.7758680294914567,0.016751098851552296
Ptprj,0.0040000129336316,0.0388304616655331,0.287409489374489,-29.33287735202842,-1.4607398159483966,-0.1996122167619544,0.6278010903221267,0.2263675994889232,0.122440341519174
Spi1,0.0314201794077955,0.2082876875446535,0.8506311026434865,-0.0001066040638015,0.0731690484860531,0.1492908081250368,1.623021197409401,1.709455646649814,0.3672611562313828
Cd44,1.5876796062554575e-05,6.35071842502183e-05,0.004096213384139,0.304280497087358,0.4126008580692721,0.5066833857134528,1.4714745789882362,1.9552791072994864,0.002662597502638782
Caprin1,0.0095578312296578,0.1813447646264983,0.910105580693816,-0.0098869066501702,0.135473263772305,0.3172462717837727,0.7244997104159343,0.7962401141046445,0.3354285515640459
Nop10,0.0482665507891328,0.343145193299992,0.9699293482575216,-0.370706375472821,-0.1554850674551232,0.0611148024802504,0.6838483971026399,0.6137743125162265,0.5263419496146219
Spred1,0.137857131703232,0.5990513446131561,1.0,-27.965448778475967,1.0002691458469513,28.90600104223653,0.0792258561832072,0.2244859616211265,0.7333652023331141
Srp14,3.175359212510915e-05,0.0021592442645074,0.0576716678574261,-0.3506547096344566,-0.2476307940779743,-0.1440557431414013,1.115810108766215,0.9389930854907568,0.01955411605937902
