Edge Name,U_statistic,p_value,infTLSwk3_median,KOTLS_median,note
Rbm5_M3<==>Slc38a2_B3,113.0,0.0005547792957146182,0.7999999999999998,0.5238095238095238,
Rbm5_M3<==>Srsf3_B2,118.0,0.00016778896210660656,0.6999999999999998,0.3452380952380952,
Rbm5_M3<==>Stat3_T3,116.0,0.0002612650637253269,0.7999999999999998,0.3214285714285714,
Rbm5_M3<==>Tpm4_T3,,,,,insufficient data
Rbm5_M3<==>Txnrd1_M3,106.0,0.0026598796894671092,0.7999999999999998,0.3928571428571428,
Rbm5_M3<==>Ube2d3_B1,,,,,insufficient data
Rbm5_M3<==>Usp9x_M4,111.0,0.0009895020183047349,0.5999999999999999,0.3333333333333333,
Rbm5_M5<==>Rpl13a_B1,,,,,insufficient data
Rbm5_M5<==>Rpl3_T5,0.0,4.444930970556727e-05,-0.7999999999999998,-0.4880952380952381,
Rbm5_M5<==>Rps26_M4,121.0,4.4686695865133594e-05,0.7999999999999998,0.4047619047619047,
Rbm5_M5<==>Samsn1_T5,121.0,5.308949483981107e-05,0.7999999999999998,0.3095238095238095,
Rbm5_M5<==>Tnfaip8_M3,115.0,0.0003708411160978858,0.6999999999999998,0.4285714285714285,
Rbm5_M5<==>Ubl5_T5,,,,,insufficient data
Rbms1_M0<==>Satb1_T3,121.0,7.282232406630649e-05,0.8999999999999999,0.2857142857142857,
Rbms1_M0<==>Srgn_M0,120.0,5.883585633093849e-05,0.7999999999999998,0.5,
Rbms1_M0<==>Ube2d2a_M0,120.0,8.055866191245999e-05,0.7999999999999998,0.4761904761904761,
Rbms1_M0<==>Ube2d3_M0,121.0,4.4686695865133594e-05,0.7999999999999998,0.3214285714285714,
Rbms1_M0<==>Vapa_M0,121.0,6.549432446712987e-05,0.7999999999999998,0.2976190476190476,
Rbms1_M1<==>Serpinb9_M3,56.0,0.7916016911537156,0.5999999999999999,0.6190476190476191,
Rbms1_M1<==>Sfpq_M1,81.0,0.1843034431090722,0.7999999999999998,0.6666666666666667,
Rbms1_M1<==>Slc38a1_M4,118.0,0.00010595103887517782,0.7999999999999998,0.3452380952380952,
Rbms1_M1<==>Tomm20_B3,121.0,4.444930970556727e-05,0.7999999999999998,0.5952380952380952,
Rbms1_M1<==>Zeb1_T2,121.0,4.444930970556727e-05,0.7999999999999998,0.5238095238095238,
Rbpj_M0<==>Rpl10a_M0,0.0,2.5376882928366753e-05,-0.7999999999999998,-0.3095238095238095,
Rbpj_M0<==>Skil_M0,,,,,insufficient data
Rbpj_M0<==>Tgif1_M0,121.0,4.4686695865133594e-05,0.7999999999999998,0.3214285714285714,
Rbpj_M0<==>Tnfaip2_M0,121.0,3.513469998404118e-05,1.0,0.3214285714285714,
Rbpj_M1<==>Spcs2_T4,17.0,0.004436007462219158,-0.5999999999999999,-0.4642857142857143,
Rbpj_M3<==>Tgfbi_M0,32.0,0.06467342061761612,-0.5999999999999999,-0.5238095238095237,
