cell_type_1,cell_type_2,total_strength,edge_count,mean_strength
B0,T6_3,0.6689323936863109,1,0.6689323936863109
M2,O4,0.6547619047619048,1,0.6547619047619048
O4,O7,0.6309523809523809,1,0.6309523809523809
B7,M1,0.5999999999999999,1,0.5999999999999999
T3,T6_3,0.5999999999999999,1,0.5999999999999999
O4,T1,0.5999999999999999,1,0.5999999999999999
B6_0,T7,0.5999999999999999,1,0.5999999999999999
B6_0,T4,0.5999999999999999,1,0.5999999999999999
B4,T6_2,0.5999999999999999,1,0.5999999999999999
T6,T6_3,0.5999999999999999,1,0.5999999999999999
B6_0,O4,0.5999999999999999,1,0.5999999999999999
B5,B7,0.5999999999999999,1,0.5999999999999999
O4,T0,0.5999999999999999,1,0.5999999999999999
T0,T6_2,0.5999999999999999,1,0.5999999999999999
B0,B7,0.5714285714285714,1,0.5714285714285714
O4,T2,0.5476190476190477,1,0.5476190476190477
B7,T7,0.545544725589981,1,0.545544725589981
M1,T6_3,0.5357142857142858,1,0.5357142857142858
O4,T5,0.5357142857142857,1,0.5357142857142857
M3,T6_3,0.5238095238095238,1,0.5238095238095238
B6_0,M5,0.5238095238095238,1,0.5238095238095238
T2,T6_3,0.516227766016838,1,0.516227766016838
B6_0,M2,0.5134062769065464,1,0.5134062769065464
M5,T6_2,0.5119047619047619,1,0.5119047619047619
B2,B7,0.5046288711707324,1,0.5046288711707324
B6_0,M7,0.5,1,0.5
B2,O4,0.5,1,0.5
M2,T7,0.5,1,0.5
M1,O4,0.4999999999999999,1,0.4999999999999999
B6_0,M0,0.4999999999999999,1,0.4999999999999999
