"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Myh10",0.131213967048287,2.3236997445249,0.001,0,1
"Atp1b2",0.131213967048287,1.8114075156952,0.001,0,1
"Asgr2",0.131213967048287,2.41558501516547,0.001,0,1
"Clec10a",0.131213967048287,2.95378611578979,0.001,0,1
"Pimreg",0.131213967048287,1.99720253139111,0.001,0,1
"Pipox",0.131213967048287,2.85217341295012,0.001,0,1
"Adap2",0.131213967048287,2.94480941766319,0.001,0,1
"Tmem100",0.131213967048287,2.79164510747535,0.001,0,1
"Tom1l1",0.131213967048287,1.86361408679767,0.001,0,1
"Fbxo47",0.131213967048287,2.26026818913268,0.001,0,1
"Csf3",0.131213967048287,2.83589124095321,0.001,0,1
"Fam171a2",0.131213967048287,2.73032017807985,0.001,0,1
"1810010H24Rik",0.131213967048287,2.79896935263694,0.001,0,1
"Abca8b",0.131213967048287,2.94843625309737,0.001,0,1
"Sectm1a",0.131213967048287,2.30697666992615,0.001,0,1
"Plekhh1",0.131213967048287,2.47367583880209,0.001,0,1
"Bbof1",0.131213967048287,1.68583866630718,0.001,0,1
"Otub2",0.131213967048287,2.42607704877034,0.001,0,1
"Gm46378",0.131213967048287,2.42349229225112,0.001,0,1
"Degs2",0.131213967048287,2.83463730134997,0.001,0,1
"Amn",0.131213967048287,2.46639727239388,0.001,0,1
"Gm48286",0.131213967048287,2.59430323300938,0.001,0,1
"Ighv5-9-1",0.131213967048287,2.72779354993988,0.001,0,1
"Ighv9-1",0.131213967048287,2.09465550656826,0.001,0,1
"Ighv1-64",0.131213967048287,3.12195573004044,0.001,0,1
"D430020J02Rik",0.131213967048287,1.74020707942777,0.001,0,1
"Itgb8",0.131213967048287,2.45992122608213,0.001,0,1
"Hist1h4b",0.131213967048287,3.65844361740981,0.001,0,1
"Gpld1",0.131213967048287,2.58929280112738,0.001,0,1
"Agtr1a",0.131213967048287,3.25154123030165,0.001,0,1
"Gm33195",0.131213967048287,3.21002722881096,0.001,0,1
"Rasgrf2",0.131213967048287,2.7647722052455,0.001,0,1
"Naip1",0.131213967048287,3.25154123030165,0.001,0,1
"Ankrd55",0.131213967048287,2.67340579231847,0.001,0,1
"3110070M22Rik",0.131213967048287,3.08384436702013,0.001,0,1
"Ccl28",0.131213967048287,3.0265597638651,0.001,0,1
"Lrmda",0.131213967048287,2.3798850202954,0.001,0,1
"Gm7644",0.131213967048287,2.8858349320568,0.001,0,1
"Klhl33",0.131213967048287,3.12015812084547,0.001,0,1
"Arl11",0.131213967048287,2.79460553296135,0.001,0,1
"Gm4675",0.131213967048287,2.42607704877034,0.001,0,1
"Sema5a",0.131213967048287,2.93952025973723,0.001,0,1
"Nipal2",0.131213967048287,3.7829665592333,0.001,0,1
"Gsdmc2",0.131213967048287,3.18190537900982,0.001,0,1
"Ccn4",0.131213967048287,3.09931910413039,0.001,0,1
"Apol9a",0.131213967048287,3.4079119818578,0.001,0,1
"A930001M01Rik",0.131213967048287,2.55138121981029,0.001,0,1
"Mapk11",0.131213967048287,2.55041328122418,0.001,0,1
"Gm49479",0.131213967048287,2.76819624884508,0.001,0,1
"Nfe2",0.131213967048287,3.16470396488137,0.001,0,1
"Abat",0.131213967048287,1.67222652372479,0.001,0,1
"Clcn2",0.131213967048287,3.477913517749,0.001,0,1
"Cldn1",0.131213967048287,3.13282247196472,0.001,0,1
"Pdia5",0.131213967048287,2.41492171161777,0.001,0,1
"Ripply3",0.131213967048287,2.74070159592016,0.001,0,1
"Fpr1",0.131213967048287,2.8787161207382,0.001,0,1
"Rpl3l",0.131213967048287,2.409314173991,0.001,0,1
"9630028I04Rik",0.131213967048287,2.74641219610307,0.001,0,1
"Gm16181",0.131213967048287,2.9271592605777,0.001,0,1
"H2-T3",0.131213967048287,2.09348366913739,0.001,0,1
"Crisp3",0.131213967048287,2.62010136370003,0.001,0,1
"Ankrd66",0.131213967048287,1.80494325368157,0.001,0,1
"Treml4",0.131213967048287,3.12015812084547,0.001,0,1
"Epb41l3",0.131213967048287,2.83547302619254,0.001,0,1
"Gm19696",0.131213967048287,3.12015812084547,0.001,0,1
"Spry4",0.131213967048287,2.40148950395187,0.001,0,1
"Ticam2",0.131213967048287,3.41622570974552,0.001,0,1
"Gm4951",0.131213967048287,3.33588474516174,0.001,0,1
"Lipg",0.131213967048287,2.30615863239533,0.001,0,1
"Gal",0.131213967048287,3.33665052947829,0.001,0,1
"Lrfn4",0.131213967048287,2.09842656254944,0.001,0,1
"Gm14963",0.131213967048287,2.96732198885216,0.001,0,1
"Pygm",0.131213967048287,3.1270698457411,0.001,0,1
"CAAA01066123.1",0.131213967048287,2.30615863239533,0.001,0,1
"Fads3",0.131213967048287,2.32257476726148,0.001,0,1
"Apba1",0.131213967048287,2.84706030057024,0.001,0,1
"2700046G09Rik",0.131213967048287,2.69266119621305,0.001,0,1
"Hectd2os",0.131213967048287,2.69300386895194,0.001,0,1
"Neurl1a",0.131213967048287,4.21599320721853,0.001,0,1
"Maob",0.131213967048287,2.66250083051929,0.001,0,1
"Gabra3",0.131213967048287,2.82262385233537,0.001,0,1
"Dusp9",0.131213967048287,2.50536640701711,0.001,0,1
"Pof1b",0.131213967048287,3.53390040596964,0.001,0,1
"Radx",0.131213967048287,2.86044916713686,0.001,0,1
"Amot",0.131213967048287,2.64951352910541,0.001,0,1
"Kctd12b",0.131213967048287,2.99510738772379,0.001,0,1
"Gm26788",0.131213967048287,2.25447853220306,0.001,0,1
"Mogat1",0.131213967048287,2.52602020232208,0.001,0,1
"Lhx2",0.131213967048287,2.56906055289906,0.001,0,1
"Ttc30a1",0.131213967048287,2.56650478317666,0.001,0,1
"Bcas1",0.131213967048287,3.84092017172936,0.001,0,1
"Gm42700",0.131213967048287,2.44021263906675,0.001,0,1
"Perm1",0.131213967048287,2.7348546632537,0.001,0,1
"Poln",0.131213967048287,1.8114075156952,0.001,0,1
"Nsun7",0.131213967048287,2.25316435655007,0.001,0,1
"Gm17207",0.131213967048287,2.3350800764892,0.001,0,1
"Afp",0.131213967048287,1.93777219940695,0.001,0,1
"Olfr212",0.131213967048287,3.477913517749,0.001,0,1
"Gm20400",0.131213967048287,3.04877633727577,0.001,0,1
"Ntf5",0.131213967048287,1.93777219940695,0.001,0,1
"Gm26862",0.131213967048287,2.44333617619663,0.001,0,1
"Gm10603",0.131213967048287,1.68107501037433,0.001,0,1
"Gm50241",0.131213967048287,1.68107501037433,0.001,0,1
"4930579C12Rik",0.131213967048287,2.61428036363852,0.001,0,1
"Gnat1",0.131213967048287,3.13130482845154,0.001,0,1
"Platr11",0.131213967048287,2.43975129773222,0.001,0,1
"Gm48089",0.131213967048287,3.12015812084547,0.001,0,1
"Timd2",0.131213967048287,1.67222652372479,0.001,0,1
"Npb",0.131213967048287,2.56906055289906,0.001,0,1
"Gm26571",0.131213967048287,2.3133823950441,0.001,0,1
"Hist1h2bk",0.131213967048287,1.85915442305868,0.001,0,1
"Gm47551",0.131213967048287,2.409314173991,0.001,0,1
"Gm49312",0.131213967048287,2.69781921836398,0.001,0,1
"Apol9b",0.131213967048287,3.00039421975293,0.001,0,1
"Arhgdig",0.131213967048287,2.13923485487569,0.001,0,1
"Cd70",0.131213967048287,1.68583866630718,0.001,0,1
"1700039M10Rik",0.131213967048287,3.01225420428529,0.001,0,1
"Kcnrg",0.131213967048287,2.73032017807985,0.001,0,1
"Sox21",0.131213967048287,3.06290450361549,0.001,0,1
"Gm15063",0.131213967048287,2.16783753106125,0.001,0,1
